Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação,Link,Error
Cortes Superiores e Cortes Supremas: do controle à interpretação da jurisprudência ao precedente ,,,,,,Book not Found
"Direitos Individuais Homogêneos: pressupostos, fundamentos e aplicação no processo civil",,,,,,Book not Found
Um panorama da teoria da imputação objetiva,,,,,,Book not Found
Curso de direito agrário,,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Legitimidade dos Precedentes: universabilidade das decisões do STJ,9788553214686,,176,2014,https://www.livrariart.com.br/ebook-legitimidade-dos-precedentes-universabilidade-das-decisoes-do-stj-9788553214686/p,
Teoria Geral dos Contratos,9788520359167,,,2014,https://www.livrariart.com.br/teoria-geral-dos-contratos-2-edicao-9788520359167/p,
,,,,,,
Instituições de Direito Civil: Teoria Geral do Direito de Sucessões – Processo Judicial e Extrajudicial de Inventário,,,,,,Book not Found
Instituições de Direito Civil: direitos da personalidade (direito de humanidade),,,,,,Book not Found
"Instituições de Direito Civil: registros, notas e prova documental ",,,,,,Book not Found
Direito Bancário,9788553216109,,688,2019,https://www.livrariart.com.br/direito-bancario-3-edicao-9788553216109/p,
Novo Contencioso Cível no CPC/2015,9788520369364,,600,2016,https://www.livrariart.com.br/novo-contencioso-civel-no-cpc-2015-9788520369364/p,
O princípio da sustentabilidade: transformando direito e governança,,,,,,Book not Found
,,,,,,
Legislação Penal Especial,9788520359303,,,2014,https://www.livrariart.com.br/legislacao-penal-especial-9788520359303/p,
Compreender Direito: nas brechas da lei,9788520362631,,,2015,https://www.livrariart.com.br/compreender-direito-nas-brechas-da-lei-vol3-9788520362631/p,
"Tutela de Evidência: teoria da cognição, análise econômica processual e comentários sobre o novo CPC",,,,,,Book not Found
,,,,,,
Soluções Práticas de Direito: direito constitucional e direito regulatório,9788520355497,,688,2014,https://www.livrariart.com.br/solucoes-praticas-de-direito-direito-constitucional-direito-regulatorio-9788520355497/p,
"Soluções Práticas de Direito: direito administrativo, processo administrativo e direito securitário",,,,,,Book not Found
"Soluções Práticas de Direito: direito bancário, direito internacional, propriedade industrial, direito tributário",,,,,,Book not Found
"Soluções Práticas de Direito: direito do consumidor, direito falimentar e direito societário",,,,,,Book not Found
Soluções Práticas de Direito: arbitragem e processo coletivo,,,,,,Book not Found
Soluções Práticas de Direito - Direito Civil: parte geral e responsabilidade civil,,,,,,Book not Found
"Soluções Práticas de Direito: contratos e obrigações, direitos reais e direito das sucessões",,,,,,Book not Found
Soluções Práticas de Direito - Processo Civil: processo de conhecimento,,,,,,Book not Found
"Soluções Práticas de Direito - Processo Civil: coisa julgada, ação rescisória, liquidação e execução",,,,,,Book not Found
Soluções Práticas de Direito - Processo Civil: recursos,,,,,,Book not Found
,,,,,,
Comentários às Alterações do Novo CPC,,,,,,Book not Found
Infrações e Sanções em Licitações e Contratos Administrativos: com as alterações da Lei anticorrupção,,,,,,Book not Found
Direito dos Seguros - Fundamentos de Direito Civil: direito empresarial e direito do consumidor,,,,,,Book not Found
"Colaboração no Processo Civil. Pressupostos sociais, lógicos e éticos",,,,,,Book not Found
,,,,,,
Igualdade e Processo: posições processuais equilibradas e unidade do direito,,,,,,Book not Found
Ética Ambiental,9788553215133,,,2015,https://www.livrariart.com.br/ebook-etica-abiental-1-edicao-9788553215133/p,
A Rebelião da Toga,,,384,2015,https://www.livrariart.com.br/a-rebeliao-da-toga-3-edicao/p,
,,,,,,
Incidente de Resolução de Demandas Repetitivas: a luta contra a dispersão jurisprudencial excessiva,,,,,,Book not Found
,,,,,,
Arbitragem Societária,9788520363829,,248,01/01/2015,https://www.livrariart.com.br/arbitragem-societaria/p,
Fundamentação das Decisões Judiciais: a crise na construção de respostas no processo civil,,,,,,Book not Found
,,,,,,
"Responsabilidade executiva secundária: A execução em face do sócio, do cônjuge, do fiador e afins",,,,,,Book not Found
Controle da Atividade do Árbitro,9788520366608,,,2015,https://www.livrariart.com.br/controle-da-atividade-do-arbitro-colecao-liebman-9788520366608/p,
,,,,,,
Execução Fiscal à Luz da Jurisprudência: Lei 6.830/1980 comentada artigo por artigo,,,,,,Book not Found
Acesso à justiça: condicionantes legítimas e ilegítimas,,,,,,Book not Found
Sistema de garantias e o direito penal juvenil,,,,,,Book not Found
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Direito empresarial: títulos de crédito e contratos empresariais,,,,,,Book not Found
,,,,,,
Direito do consumidor: princípios gerais e defesa do consumidor em juízo,,,,,,Book not Found
Direito do consumidor: defesa do consumidor em juízo e sanções administrativas,,,,,,Book not Found
A vulnerabilidade dos consumidores no comércio eletrônico: a reconstrução da confiança na atualização do código de defesa do consumidor,,,,,,Book not Found
Considerações Sobre a Lei Anticorrupção das Pessoas Jurídicas,,,416,01/01/2014,https://www.livrariart.com.br/consideracoes-sobre-a-lei-anticorrupcao-das-pessoas-juridicas-lei-12846-de-2013/p,
,,,,,,
,,,,,,
Fraudes patrimoniais e a desconsideração da personalidade jurídica no Código de Processo Civil de 2015,,,,,,Book not Found
Comentários ao Código de Processo Civil,,28/05/2021,,2021,https://www.livrariart.com.br/colecao-comentarios-ao-codigo-de-processo-civil-17-volumes-kit/p,
,,,,,,
"Processo Civil, Cultura e Proporcionalidade: análise crítica da teoria processual",9788520371190,,160,2017,https://www.livrariart.com.br/processo-civil-cultura-e-proporcionalidade-analise-critica-da-teoria-processual-1-edicao-9788520371190/p,
Legitimação Democrática do Poder Judiciário no Novo Código de Processo Civil,,,,,,Book not Found
Curso de Arbitragem - Mediação - Conciliação - Resolução CNJ 125/2010,,,,,,Book not Found
A Responsabilidade Patrimonial no Novo Sistema Processual Civil,9788520368527,,352,2016,https://www.livrariart.com.br/a-responsabilidade-patrimonial-no-novo-sistema-processual-civil-9788520368527/p,
Processo civil brasileiro: parte geral: fundamentos e distribuição de conflitos,9786559910236,28/07/2022,1184,2022,https://www.livrariart.com.br/processo-civil-brasileiro-vol-1-9786559910236/p,
,,,,,,
